0	1 4	1 32
1	2 33	2 122
2	3 105	3 300
3	2 193	2 1321
4	2 291	2 2845
5	3 443	3 6180
6	4 541	4 12322
7	4 973	4 20965
8	4 1254	4 33211
9	3 1918	3 43906
10	4 2147	4 62584
11	4 3349	4 87041
12	4 6636	4 119029
13	4 7445	4 158513
14	5 7962	5 200426
15	5 11601	5 250341
16	5 13992	5 313570
17	6 20762	6 398036
18	5 17056	4 451415
19	5 23771	5 553409
20	5 30969	5 655930
21	6 28431	5 795155
22	6 48923	6 965335
23	5 58597	5 1104159
24	6 53864	6 1304738
25	5 62584	5 1531407
26	6 96727	6 1812381
27	6 91711	6 2159559
28	7 171288	7 2541633
29	7 180771	7 3001397
30	7 255469	6 3440535
31	6 197145	5 3880731
32	6 257553	6 4396593
33	7 265256	6 4917432
34	7 346093	6 5389672
35	6 554652	6 6612173
36	7 350098	6 7212183
37	7 477169	7 8110558
38	7 536593	6 8555732
39	6 822130	6 10201941
40	7 718902	6 10997964
41	7 1208001	6 12048732
42	7 1127261	7 13216699
43	7 1260021	6 14423651
44	7 1737996	6 15891700
45	7 1154177	7 17550433
46	7 2912900	7 20913210
47	7 2487912	6 22723185
48	7 2164617	7 26471571
49	8 2085201	7 28612347
50	8 2922539	7 30500835
51	8 3762474	7 33129544
52	8 2968203	8 39459472
53	8 4384550	8 44810984
54	8 7017397	7 48139544
55	8 6644689	8 51295187
56	8 6632664	7 57189811
57	9 7067810	7 60917675
58	8 8947062	8 68492394
59	8 6706860	8 78327067
60	8 8724272	8 86236509
61	8 9672907	8 95853866
62	9 9173659	8 99759544
63	8 16815929	7 104314278
64	8 10748041	8 115317363
65	7 15980485	7 124430077
66	8 11816969	7 130395803
67	8 17630611	8 137097360
68	8 15230149	7 143161057
69	9 18418627	9 164620837
70	8 22168410	8 178209925
71	8 19791233	7 186056430
72	8 25170585	8 200122045
73	9 29404654	8 208839663
74	9 29205129	9 226400924
75	8 44088227	8 242133587
76	9 29830566	8 258344148
77	9 34493272	8 273632304
78	8 37618982	8 289482219
79	9 40658988	9 303798973
80	9 54332813	9 323662014
81	9 56112523	9 348699125
82	9 47516247	8 367742473
83	9 74570149	9 396712167
84	9 48366410	8 411947582
85	8 62746265	8 438738075
86	10 69675436	9 463338580
87	9 84142353	8 487892399
88	9 77873840	8 504181350
89	11 85919756	9 523410025
90	9 91777749	8 554802842
91	9 100099851	8 570874727
92	9 128354356	9 602944026
93	9 125434100	9 636100098
94	10 153340205	9 666837652
95	9 150988103	9 706168436
96	9 155130490	9 745618418
97	9 136738495	9 796112663
98	9 149140349	9 837119515
