0	1 4	1 32
1	2 33	2 122
2	3 105	3 300
3	2 193	2 1321
4	2 291	2 2845
5	3 443	3 6180
6	4 541	4 12322
7	4 973	4 21293
8	4 1254	4 34456
9	3 1918	3 45548
10	4 2147	4 66530
11	4 3349	4 92494
12	4 6636	4 127721
13	4 7445	4 172290
14	5 7962	5 219535
15	5 11601	5 274088
16	5 13992	5 344572
17	6 20762	6 443828
18	5 17056	4 497207
19	5 23771	5 606752
20	5 30969	5 727256
21	6 28431	5 868186
22	6 48923	6 1062741
23	5 58597	5 1224478
24	6 53864	6 1450082
25	5 62584	5 1683799
26	6 96727	6 1987514
27	6 91711	6 2370576
28	7 171288	7 2838771
29	7 180771	7 3400133
30	7 255469	6 3963891
31	6 197145	5 4476647
32	6 257553	6 5077952
33	7 265256	6 5720966
34	7 346093	6 6344857
35	6 554652	6 7841069
36	7 350098	6 8438953
37	7 477169	7 9394683
38	7 536593	6 9869082
39	6 822130	6 12154489
40	7 718902	6 13073389
41	7 1208001	6 14153853
42	7 1127261	7 15444599
43	7 1260021	7 19176300
44	7 1737996	6 20153049
45	7 1154177	7 22397412
46	7 2912900	7 26628581
47	7 2487912	6 28790010
48	7 2164617	7 33179419
49	8 2085201	7 35712628
50	8 2922539	7 38173908
51	8 3762474	7 41391200
52	8 2968203	8 48272986
53	8 4384550	8 54326043
54	8 7017397	7 58347857
55	8 6644689	8 62128805
56	8 6632664	8 75110506
57	9 7067810	7 79586247
58	8 8947062	6 82799976
59	8 6706860	8 94381295
60	8 8724272	8 103863839
61	8 9672907	8 115188838
62	9 9173659	8 120582064
63	8 16815929	7 126194903
64	8 10748041	7 132702919
65	7 15980485	7 143686867
66	8 11816969	8 154869772
67	8 17630611	8 162729030
68	8 15230149	7 169668966
69	9 18418627	9 188910214
70	8 22168410	8 206067506
71	8 19791233	7 215720965
72	8 25170585	8 233124903
73	9 29404654	9 257275939
74	9 29205129	9 278367567
75	8 44088227	8 298509676
76	9 29830566	8 318197107
77	9 34493272	8 336723832
78	8 37618982	8 355899275
79	9 40658988	9 372712151
80	9 54332813	9 396474188
81	9 56112523	9 426271435
82	9 47516247	8 449005841
83	9 74570149	8 470207298
84	9 48366410	8 488937449
85	8 62746265	8 520441784
86	10 69675436	9 549936810
87	9 84142353	9 586632465
88	9 77873840	8 608265577
89	11 85919756	9 631482754
90	9 91777749	9 701847977
91	9 100099851	8 721294274
92	9 128354356	9 759876951
93	9 125434100	9 797663424
94	10 153340205	10 859791138
95	9 150988103	9 906849220
96	9 155130490	9 954681918
97	9 136738495	9 1017608176
98	9 149140349	9 1065868898
