0	1 4	1 32
1	2 33	2 122
2	3 105	3 300
3	2 193	2 1321
4	2 291	2 2845
5	3 443	3 6180
6	4 541	4 11607
7	4 973	4 19737
8	4 1254	4 30353
9	3 1918	3 39192
10	4 2147	4 55725
11	4 3349	4 76778
12	4 6636	4 100680
13	4 7445	4 130273
14	5 7962	5 164751
15	5 11601	5 205770
16	5 13992	5 255992
17	6 20762	6 325031
18	5 17056	4 373288
19	5 23771	5 458080
20	5 30969	5 534132
21	6 28431	5 636301
22	6 48923	6 749221
23	5 58597	5 879239
24	6 53864	6 1037343
25	5 62584	5 1197929
26	6 96727	6 1400063
27	6 91711	6 1657546
28	7 171288	7 1935916
29	7 180771	7 2305661
30	7 255469	6 2645753
31	6 197145	5 3003336
32	6 257553	6 3384800
33	7 265256	6 3767726
34	7 346093	6 4157639
35	6 554652	5 4450491
36	7 350098	6 4959273
37	7 477169	7 5627403
38	7 536593	6 6053822
39	6 822130	6 7343824
40	7 718902	6 7986001
41	7 1208001	6 8794708
42	7 1127261	7 9728724
43	7 1260021	6 10615047
44	7 1737996	6 11652524
45	7 1154177	7 12927943
46	7 2912900	7 15521137
47	7 2487912	7 18774802
48	7 2164617	7 22758023
49	8 2085201	7 24361544
50	8 2922539	7 25807992
51	8 3762474	7 27571228
52	8 2968203	8 34113699
53	8 4384550	8 38217422
54	8 7017397	7 40584511
55	8 6644689	8 42980115
56	8 6632664	6 44944519
57	9 7067810	7 47550511
58	8 8947062	6 49821826
59	8 6706860	8 58513250
60	8 8724272	8 64847242
61	8 9672907	8 73080689
62	9 9173659	8 76374526
63	8 16815929	7 79702736
64	8 10748041	7 83397520
65	7 15980485	7 90607264
66	8 11816969	8 99858475
67	8 17630611	8 104468132
68	8 15230149	7 109039536
69	9 18418627	8 119205703
70	8 22168410	7 126973293
71	8 19791233	7 132482405
72	8 25170585	8 142538777
73	9 29404654	8 148906131
74	9 29205129	7 154189523
75	8 44088227	8 166000080
76	9 29830566	8 177917091
77	9 34493272	8 189133399
78	8 37618982	8 200511823
79	9 40658988	9 210673580
80	9 54332813	8 219792687
81	9 56112523	9 238978022
82	9 47516247	8 252785152
83	9 74570149	9 274255826
84	9 48366410	8 284945655
85	8 62746265	8 305365941
86	10 69675436	9 335786341
87	9 84142353	8 353904888
88	9 77873840	8 366303849
89	11 85919756	9 380130865
90	9 91777749	8 404021191
91	9 100099851	8 414675833
92	9 128354356	9 437911955
93	9 125434100	9 470725475
94	10 153340205	9 493156127
95	9 150988103	9 522398097
96	9 155130490	9 551232519
97	9 136738495	9 588425930
98	9 149140349	9 617696724
