0	1 4	1 32
1	2 33	2 122
2	3 105	3 300
3	2 193	2 1019
4	2 291	2 2400
5	3 443	3 4770
6	4 541	4 8067
7	4 973	4 12278
8	4 1254	4 17377
9	3 1918	3 23538
10	4 2147	4 35107
11	4 3349	4 46503
12	4 6636	4 58823
13	4 7445	4 76245
14	5 7962	5 98402
15	5 11601	5 122032
16	5 13992	5 147881
17	6 20762	6 181316
18	5 17056	4 213218
19	5 23771	5 254977
20	5 30969	5 292448
21	6 28431	5 340103
22	6 48923	6 398604
23	5 58597	5 461332
24	6 53864	6 553721
25	5 62584	5 628709
26	6 96727	6 733911
27	6 91711	6 852920
28	7 171288	7 964442
29	7 180771	7 1156067
30	7 255469	6 1303722
31	6 197145	5 1447450
32	6 257553	6 1611872
33	7 265256	6 1763459
34	7 346093	6 1945755
35	6 554652	5 2090407
36	7 350098	6 2289196
37	7 477169	7 2566682
38	7 536593	6 2766501
39	6 822130	5 2978274
40	7 718902	6 3246940
41	7 1208001	6 3551538
42	7 1127261	7 3925440
43	7 1260021	6 4232179
44	7 1737996	6 4614278
45	7 1154177	7 5068489
46	7 2912900	6 5464541
47	7 2487912	6 5911600
48	7 2164617	6 6900696
49	8 2085201	7 7535642
50	8 2922539	7 8110201
51	8 3762474	7 8787944
52	8 2968203	6 9355148
53	8 4384550	8 11735648
54	8 7017397	7 12693298
55	8 6644689	8 13713102
56	8 6632664	6 14425353
57	9 7067810	7 15373782
58	8 8947062	6 16175146
59	8 6706860	8 20296761
60	8 8724272	7 21619386
61	8 9672907	7 24190703
62	9 9173659	8 25667701
63	8 16815929	7 26926001
64	8 10748041	7 28402078
65	7 15980485	7 31865670
66	8 11816969	7 33456972
67	8 17630611	8 35473927
68	8 15230149	7 37136558
69	9 18418627	7 38858575
70	8 22168410	8 46182158
71	8 19791233	7 48381646
72	8 25170585	7 50466682
73	9 29404654	8 52957952
74	9 29205129	9 61846722
75	8 44088227	8 67893691
76	9 29830566	8 74007687
77	9 34493272	8 78711981
78	8 37618982	8 83410333
79	9 40658988	9 87359235
80	9 54332813	8 91173805
81	9 56112523	9 103503748
82	9 47516247	9 110934190
83	9 74570149	8 116651568
84	9 48366410	8 120969296
85	8 62746265	7 124984762
86	10 69675436	7 129119924
87	9 84142353	9 139467608
88	9 77873840	8 144051824
89	11 85919756	9 149347034
90	9 91777749	7 153607937
91	9 100099851	8 158541493
92	9 128354356	8 167461045
93	9 125434100	9 178466613
94	10 153340205	8 184370679
95	9 150988103	8 197252135
96	9 155130490	8 208994345
97	9 136738495	8 218338364
98	9 149140349	9 230468511
