0	1 4	1 32
1	2 33	2 122
2	3 105	3 300
3	2 193	2 1321
4	2 291	2 2702
5	3 443	3 5830
6	4 541	4 10089
7	4 973	4 15820
8	4 1254	4 24584
9	3 1918	3 31537
10	4 2147	4 45326
11	4 3349	4 62010
12	4 6636	4 80702
13	4 7445	4 104351
14	5 7962	5 135219
15	5 11601	5 168712
16	5 13992	5 206762
17	6 20762	6 264102
18	5 17056	4 304557
19	5 23771	5 364151
20	5 30969	5 417936
21	6 28431	5 487707
22	6 48923	6 580975
23	5 58597	5 674526
24	6 53864	6 788343
25	5 62584	5 907070
26	6 96727	6 1059995
27	6 91711	6 1235080
28	7 171288	7 1425864
29	7 180771	7 1693746
30	7 255469	6 1920105
31	6 197145	5 2169129
32	6 257553	6 2440992
33	7 265256	6 2687083
34	7 346093	6 2975098
35	6 554652	6 3709128
36	7 350098	6 4086010
37	7 477169	7 4601450
38	7 536593	6 4924725
39	6 822130	6 5978468
40	7 718902	6 6495451
41	7 1208001	6 7091871
42	7 1127261	7 7813800
43	7 1260021	6 8437730
44	7 1737996	6 9108103
45	7 1154177	7 9968809
46	7 2912900	6 10705887
47	7 2487912	6 11584602
48	7 2164617	6 13334739
49	8 2085201	7 14434363
50	8 2922539	7 15430863
51	8 3762474	7 16642366
52	8 2968203	8 20534910
53	8 4384550	8 24742345
54	8 7017397	7 26420914
55	8 6644689	8 28168784
56	8 6632664	7 31302759
57	9 7067810	7 33160142
58	8 8947062	6 34647760
59	8 6706860	7 37835403
60	8 8724272	8 42629052
61	8 9672907	8 47978118
62	9 9173659	8 50561655
63	8 16815929	7 52879037
64	8 10748041	7 55423835
65	7 15980485	7 60785446
66	8 11816969	7 63714995
67	8 17630611	8 67149342
68	8 15230149	7 70354718
69	9 18418627	8 76862041
70	8 22168410	7 83356963
71	8 19791233	7 87218191
72	8 25170585	8 94266573
73	9 29404654	8 98912916
74	9 29205129	9 109975423
75	8 44088227	7 114254316
76	9 29830566	8 125267652
77	9 34493272	8 133237983
78	8 37618982	8 141307407
79	9 40658988	9 148356916
80	9 54332813	8 154819208
81	9 56112523	9 168709494
82	9 47516247	9 182138999
83	9 74570149	9 197767183
84	9 48366410	8 205034266
85	8 62746265	8 219858023
86	10 69675436	9 239193725
87	9 84142353	8 252937678
88	9 77873840	8 261480817
89	11 85919756	9 270819240
90	9 91777749	9 291319052
91	9 100099851	8 299760431
92	9 128354356	8 314241756
93	9 125434100	9 337436389
94	10 153340205	9 355643134
95	9 150988103	9 382690140
96	9 155130490	8 398965705
97	9 136738495	9 425651405
98	9 149140349	9 446858270
