0	1 4	1 32
1	2 33	2 122
2	3 105	3 300
3	2 193	2 1019
4	2 291	2 2036
5	3 443	3 3629
6	4 541	4 6926
7	4 973	4 11137
8	4 1254	4 16236
9	3 1918	3 21010
10	4 2147	4 30534
11	4 3349	4 39088
12	4 6636	4 48635
13	4 7445	4 66057
14	5 7962	5 83805
15	5 11601	5 102821
16	5 13992	5 123716
17	6 20762	6 150528
18	5 17056	4 178579
19	5 23771	5 212249
20	5 30969	5 244684
21	6 28431	5 284611
22	6 48923	6 334206
23	5 58597	5 391394
24	6 53864	6 464284
25	5 62584	5 520443
26	6 96727	6 612915
27	6 91711	6 719520
28	7 171288	7 811329
29	7 180771	7 957636
30	7 255469	6 1067430
31	6 197145	5 1180714
32	6 257553	6 1305051
33	7 265256	6 1437373
34	7 346093	6 1583128
35	6 554652	5 1707368
36	7 350098	6 1868142
37	7 477169	7 2073651
38	7 536593	6 2236680
39	6 822130	5 2413682
40	7 718902	6 2630626
41	7 1208001	6 2874687
42	7 1127261	7 3159811
43	7 1260021	6 3412567
44	7 1737996	6 3685803
45	7 1154177	7 4002974
46	7 2912900	6 4318721
47	7 2487912	6 4673074
48	7 2164617	5 4969799
49	8 2085201	7 5398261
50	8 2922539	7 5820161
51	8 3762474	7 6312002
52	8 2968203	6 6736575
53	8 4384550	6 7258425
54	8 7017397	7 7923934
55	8 6644689	8 8631763
56	8 6632664	6 9159766
57	9 7067810	7 9868741
58	8 8947062	6 10483551
59	8 6706860	7 12389995
60	8 8724272	7 13388118
61	8 9672907	7 15390757
62	9 9173659	8 16516835
63	8 16815929	7 17446394
64	8 10748041	7 18485958
65	7 15980485	6 19416581
66	8 11816969	7 20541741
67	8 17630611	8 22069860
68	8 15230149	7 23326408
69	9 18418627	7 24534105
70	8 22168410	6 25702198
71	8 19791233	7 27236978
72	8 25170585	7 28666845
73	9 29404654	8 30638530
74	9 29205129	7 32211111
75	8 44088227	7 33841449
76	9 29830566	7 35936889
77	9 34493272	6 37601920
78	8 37618982	8 41213106
79	9 40658988	9 44210393
80	9 54332813	8 47165259
81	9 56112523	8 51484175
82	9 47516247	7 53801988
83	9 74570149	8 58280350
84	9 48366410	8 61402875
85	8 62746265	7 64199736
86	10 69675436	7 67383104
87	9 84142353	8 76434162
88	9 77873840	8 79904554
89	11 85919756	9 83711189
90	9 91777749	7 86781056
91	9 100099851	8 90302083
92	9 128354356	7 93404120
93	9 125434100	7 96504434
94	10 153340205	8 100531797
95	9 150988103	7 103940222
96	9 155130490	7 107627049
97	9 136738495	8 115645609
98	9 149140349	8 120340763
