0	1 4	1 32
1	2 33	2 122
2	3 105	3 300
3	2 193	2 1321
4	2 291	2 2845
5	3 443	3 6180
6	4 541	4 12322
7	4 973	4 21953
8	4 1254	4 37198
9	3 1918	3 49363
10	4 2147	4 72705
11	4 3349	4 98669
12	4 6636	4 140857
13	4 7445	4 188301
14	5 7962	5 242021
15	5 11601	5 300659
16	5 13992	5 378435
17	6 20762	6 491326
18	5 17056	4 544705
19	5 23771	5 662786
20	5 30969	5 797411
21	6 28431	5 994946
22	6 48923	6 1226035
23	5 58597	5 1411589
24	6 53864	6 1665372
25	5 62584	5 1920159
26	6 96727	6 2279511
27	6 91711	6 2731746
28	7 171288	7 3261597
29	7 180771	7 3993536
30	7 255469	6 4588239
31	6 197145	5 5292201
32	6 257553	6 5996421
33	7 265256	6 6680079
34	7 346093	6 7421752
35	6 554652	6 9174585
36	7 350098	6 9956891
37	7 477169	7 10866082
38	7 536593	6 11373068
39	6 822130	6 13733922
40	7 718902	6 14790900
41	7 1208001	6 16421245
42	7 1127261	7 17891665
43	7 1260021	7 21672668
44	7 1737996	6 22712308
45	7 1154177	7 25299312
46	7 2912900	7 30128673
47	7 2487912	6 32336298
48	7 2164617	7 37459086
49	8 2085201	7 40133331
50	8 2922539	7 42721209
51	8 3762474	7 46449910
52	8 2968203	8 54433235
53	8 4384550	8 61468125
54	8 7017397	7 66192715
55	8 6644689	8 70708210
56	8 6632664	8 84970342
57	9 7067810	7 90190024
58	8 8947062	7 102250432
59	8 6706860	8 115618744
60	8 8724272	8 127271326
61	8 9672907	8 140502548
62	9 9173659	8 147516861
63	8 16815929	7 154186950
64	8 10748041	8 168145265
65	7 15980485	7 180657745
66	8 11816969	7 189440808
67	8 17630611	8 198610952
68	8 15230149	7 207774709
69	9 18418627	9 237606320
70	8 22168410	8 256267890
71	8 19791233	7 267754154
72	8 25170585	8 288077754
73	9 29404654	9 313662342
74	9 29205129	9 335277684
75	8 44088227	8 359076105
76	9 29830566	8 382247100
77	9 34493272	8 404031093
78	8 37618982	8 426547481
79	9 40658988	9 445859266
80	9 54332813	9 473836983
81	9 56112523	9 509410899
82	9 47516247	8 536138339
83	9 74570149	8 560937374
84	9 48366410	8 582881085
85	8 62746265	8 615989707
86	10 69675436	9 650370715
87	9 84142353	9 684403620
88	9 77873840	8 709720892
89	11 85919756	9 738334611
90	9 91777749	9 797624874
91	9 100099851	8 820225175
92	9 128354356	9 864945397
93	9 125434100	9 908639479
94	10 153340205	10 996927191
95	9 150988103	9 1052331402
96	9 155130490	9 1133660255
97	9 136738495	9 1205195899
98	9 149140349	9 1262754724
