0	1 4	1 32
1	2 33	2 122
2	3 105	3 300
3	2 193	2 1019
4	2 291	2 2036
5	3 443	3 3629
6	4 541	4 6000
7	4 973	4 9041
8	4 1254	4 12784
9	3 1918	3 16643
10	4 2147	4 24402
11	4 3349	4 30707
12	4 6636	4 38010
13	4 7445	4 50290
14	5 7962	5 61027
15	5 11601	5 73168
16	5 13992	5 86913
17	6 20762	6 103804
18	5 17056	4 125740
19	5 23771	5 147424
20	5 30969	5 171273
21	6 28431	5 197760
22	6 48923	6 230025
23	5 58597	5 274630
24	6 53864	6 331628
25	5 62584	5 368798
26	6 96727	6 431507
27	6 91711	6 502455
28	7 171288	7 558833
29	7 180771	7 653653
30	7 255469	6 714570
31	6 197145	5 773860
32	6 257553	6 843459
33	7 265256	6 916417
34	7 346093	6 993777
35	6 554652	5 1065454
36	7 350098	6 1153103
37	7 477169	7 1257671
38	7 536593	6 1350752
39	6 822130	5 1460950
40	7 718902	6 1592066
41	7 1208001	6 1731835
42	7 1127261	7 1887787
43	7 1260021	6 2033381
44	7 1737996	6 2182320
45	7 1154177	7 2356792
46	7 2912900	6 2520188
47	7 2487912	6 2695771
48	7 2164617	5 2852836
49	8 2085201	7 3063080
50	8 2922539	7 3277196
51	8 3762474	7 3523191
52	8 2968203	6 3746952
53	8 4384550	8 4474331
54	8 7017397	7 4857935
55	8 6644689	8 5175801
56	8 6632664	6 5430961
57	9 7067810	7 5740691
58	8 8947062	6 6024330
59	8 6706860	7 6827168
60	8 8724272	8 7755240
61	8 9672907	7 8624061
62	9 9173659	8 9134583
63	8 16815929	7 9585606
64	8 10748041	7 10176037
65	7 15980485	6 10703332
66	8 11816969	7 11195192
67	8 17630611	8 11920459
68	8 15230149	7 12459611
69	9 18418627	8 13591644
70	8 22168410	6 14135229
71	8 19791233	7 14950074
72	8 25170585	7 15577484
73	9 29404654	8 16504505
74	9 29205129	7 17142293
75	8 44088227	7 17808558
76	9 29830566	7 18758768
77	9 34493272	7 20138779
78	8 37618982	7 20919861
79	9 40658988	9 22148175
80	9 54332813	8 23577655
81	9 56112523	8 25396957
82	9 47516247	7 26392360
83	9 74570149	6 27295221
84	9 48366410	8 28763047
85	8 62746265	7 29901730
86	10 69675436	7 31303025
87	9 84142353	9 35709241
88	9 77873840	8 37047056
89	11 85919756	9 38498330
90	9 91777749	7 39713056
91	9 100099851	8 41090716
92	9 128354356	7 42335471
93	9 125434100	9 45306620
94	10 153340205	8 46869636
95	9 150988103	9 50353702
96	9 155130490	7 51777917
97	9 136738495	7 53238815
98	9 149140349	8 55157461
