0	1 4	1 32
1	2 33	2 122
2	3 105	3 300
3	2 193	2 1321
4	2 291	2 2845
5	3 443	3 6180
6	4 541	4 12322
7	4 973	4 20965
8	4 1254	4 32371
9	3 1918	3 42377
10	4 2147	4 61055
11	4 3349	4 83579
12	4 6636	4 113760
13	4 7445	4 153244
14	5 7962	5 192337
15	5 11601	5 239565
16	5 13992	5 302794
17	6 20762	6 381525
18	5 17056	4 434759
19	5 23771	5 533326
20	5 30969	5 630415
21	6 28431	5 761473
22	6 48923	6 902215
23	5 58597	5 1055410
24	6 53864	6 1248639
25	5 62584	5 1437447
26	6 96727	6 1683534
27	6 91711	6 1982302
28	7 171288	7 2337867
29	7 180771	7 2787042
30	7 255469	6 3228374
31	6 197145	5 3632544
32	6 257553	6 4112015
33	7 265256	6 4611082
34	7 346093	6 5051819
35	6 554652	6 6115873
36	7 350098	6 6758049
37	7 477169	7 7542098
38	7 536593	6 7976629
39	6 822130	6 9588606
40	7 718902	6 10345744
41	7 1208001	6 11255705
42	7 1127261	7 12381949
43	7 1260021	6 13508803
44	7 1737996	6 14888713
45	7 1154177	7 16522266
46	7 2912900	7 19703487
47	7 2487912	6 21526381
48	7 2164617	7 24993518
49	8 2085201	7 26968686
50	8 2922539	7 28825805
51	8 3762474	7 31227105
52	8 2968203	8 36685889
53	8 4384550	8 41774011
54	8 7017397	7 44840488
55	8 6644689	8 47795377
56	8 6632664	7 53389375
57	9 7067810	7 56835847
58	8 8947062	6 59524183
59	8 6706860	8 67775835
60	8 8724272	8 75573367
61	8 9672907	8 84892062
62	9 9173659	8 88542183
63	8 16815929	8 98645784
64	8 10748041	8 110561179
65	7 15980485	7 118979848
66	8 11816969	7 124542513
67	8 17630611	8 130617462
68	8 15230149	7 136665634
69	9 18418627	8 148335894
70	8 22168410	8 161974239
71	8 19791233	7 169152797
72	8 25170585	8 182319952
73	9 29404654	8 190542044
74	9 29205129	9 206818073
75	8 44088227	8 222381310
76	9 29830566	8 237718982
77	9 34493272	8 251920341
78	8 37618982	8 266654206
79	9 40658988	9 278668331
80	9 54332813	9 296689664
81	9 56112523	9 320511370
82	9 47516247	8 338014311
83	9 74570149	8 354499850
84	9 48366410	8 367382384
85	8 62746265	8 394102396
86	10 69675436	9 417191481
87	9 84142353	8 440230471
88	9 77873840	8 456491920
89	11 85919756	9 474279078
90	9 91777749	9 529399862
91	9 100099851	8 544286346
92	9 128354356	9 572680536
93	9 125434100	9 623246810
94	10 153340205	10 656853597
95	9 150988103	9 713845119
96	9 155130490	9 748289022
97	9 136738495	9 784306837
98	9 149140349	9 822403008
