0	1 4	1 32
1	2 33	2 122
2	3 105	3 300
3	2 193	2 1321
4	2 291	2 2702
5	3 443	3 5072
6	4 541	4 8369
7	4 973	4 14100
8	4 1254	4 20864
9	3 1918	3 27025
10	4 2147	4 38594
11	4 3349	4 52553
12	4 6636	4 67960
13	4 7445	4 88404
14	5 7962	5 110561
15	5 11601	5 139140
16	5 13992	5 171108
17	6 20762	6 212947
18	5 17056	4 247948
19	5 23771	5 297243
20	5 30969	5 339574
21	6 28431	5 394950
22	6 48923	6 463988
23	5 58597	5 538906
24	6 53864	6 642458
25	5 62584	5 727397
26	6 96727	6 847320
27	6 91711	6 995514
28	7 171288	7 1144707
29	7 180771	7 1358026
30	7 255469	6 1524730
31	6 197145	5 1707044
32	6 257553	6 1911307
33	7 265256	6 2095987
34	7 346093	6 2297089
35	6 554652	6 2845678
36	7 350098	6 3128848
37	7 477169	7 3494658
38	7 536593	6 3734397
39	6 822130	5 4004813
40	7 718902	6 4336477
41	7 1208001	6 4717159
42	7 1127261	7 5174501
43	7 1260021	6 5602865
44	7 1737996	6 6075379
45	7 1154177	7 6630516
46	7 2912900	6 7125871
47	7 2487912	6 7740010
48	7 2164617	6 9007163
49	8 2085201	7 9762563
50	8 2922539	7 10452597
51	8 3762474	7 11335664
52	8 2968203	7 13081468
53	8 4384550	8 16251350
54	8 7017397	7 17382644
55	8 6644689	8 18670482
56	8 6632664	6 19603427
57	9 7067810	7 20816174
58	8 8947062	6 21852936
59	8 6706860	7 24269783
60	8 8724272	7 25938537
61	8 9672907	7 29089012
62	9 9173659	8 30934693
63	8 16815929	7 32636707
64	8 10748041	7 34471534
65	7 15980485	7 38349641
66	8 11816969	7 40338519
67	8 17630611	8 42947573
68	8 15230149	7 45166532
69	9 18418627	8 49814134
70	8 22168410	6 52004576
71	8 19791233	7 54806937
72	8 25170585	8 59934375
73	9 29404654	8 63314117
74	9 29205129	9 71162946
75	8 44088227	8 78718711
76	9 29830566	7 82460060
77	9 34493272	8 88251211
78	8 37618982	8 94066591
79	9 40658988	9 99012125
80	9 54332813	8 103612584
81	9 56112523	8 111073996
82	9 47516247	9 120300155
83	9 74570149	9 131845086
84	9 48366410	8 137156884
85	8 62746265	7 142163173
86	10 69675436	7 147112761
87	9 84142353	9 160968462
88	9 77873840	8 166993152
89	11 85919756	9 173510343
90	9 91777749	8 185425223
91	9 100099851	8 191736644
92	9 128354356	8 201931539
93	9 125434100	8 214864285
94	10 153340205	10 229751712
95	9 150988103	9 247312522
96	9 155130490	9 269647526
97	9 136738495	8 281160770
98	9 149140349	9 296312952
