0	1 4	1 32
1	2 33	2 122
2	3 105	3 300
3	2 193	2 1321
4	2 291	2 2845
5	3 443	3 6180
6	4 541	4 12322
7	4 973	4 21621
8	4 1254	4 35814
9	3 1918	3 47951
10	4 2147	4 68933
11	4 3349	4 94897
12	4 6636	4 130124
13	4 7445	4 177017
14	5 7962	5 226820
15	5 11601	5 284759
16	5 13992	5 357909
17	6 20762	6 461855
18	5 17056	4 515234
19	5 23771	5 618766
20	5 30969	5 745905
21	6 28431	5 907192
22	6 48923	6 1108809
23	5 58597	5 1291971
24	6 53864	6 1523902
25	5 62584	5 1762885
26	6 96727	6 2090519
27	6 91711	6 2500191
28	7 171288	7 3009404
29	7 180771	7 3608433
30	7 255469	6 4138222
31	6 197145	5 4729925
32	6 257553	6 5357730
33	7 265256	6 6036667
34	7 346093	6 6701652
35	6 554652	6 8154565
36	7 350098	6 8992343
37	7 477169	7 9940067
38	7 536593	6 10424647
39	6 822130	6 12793303
40	7 718902	6 13750664
41	7 1208001	6 15227311
42	7 1127261	7 16573345
43	7 1260021	7 20474433
44	7 1737996	6 21469187
45	7 1154177	7 23815451
46	7 2912900	7 28012470
47	7 2487912	7 32603202
48	7 2164617	7 37887713
49	8 2085201	7 40303430
50	8 2922539	7 42418141
51	8 3762474	7 45760450
52	8 2968203	8 52887094
53	8 4384550	8 59601405
54	8 7017397	7 63891358
55	8 6644689	8 67873435
56	8 6632664	8 80710667
57	9 7067810	7 85547929
58	8 8947062	8 100016746
59	8 6706860	8 110913885
60	8 8724272	8 120867381
61	8 9672907	8 135210825
62	9 9173659	9 150150072
63	8 16815929	8 163917387
64	8 10748041	8 176724127
65	7 15980485	7 188323264
66	8 11816969	8 205466309
67	8 17630611	8 213810728
68	8 15230149	7 221967628
69	9 18418627	9 249054516
70	8 22168410	8 266962748
71	8 19791233	7 277109281
72	8 25170585	8 295915990
73	9 29404654	9 321356593
74	9 29205129	9 340753719
75	8 44088227	8 361136979
76	9 29830566	8 381983843
77	9 34493272	8 401590621
78	8 37618982	8 421890449
79	9 40658988	9 439529187
80	9 54332813	9 464592095
81	9 56112523	9 495009431
82	9 47516247	8 518972140
83	9 74570149	9 558042782
84	9 48366410	8 577845770
85	8 62746265	8 610785042
86	10 69675436	9 642115813
87	9 84142353	9 675494204
88	9 77873840	8 698477643
89	11 85919756	9 724007271
90	9 91777749	8 765489274
91	9 100099851	8 785442576
92	9 128354356	9 825885800
93	9 125434100	9 865621184
94	10 153340205	10 947887458
95	9 150988103	9 1026090578
96	9 155130490	8 1067522683
97	9 136738495	9 1141540584
98	9 149140349	9 1193845980
