0	1 4	1 32
1	2 33	2 122
2	3 105	3 300
3	2 193	2 1321
4	2 291	2 2845
5	3 443	3 6180
6	4 541	4 12322
7	4 973	4 20452
8	4 1254	4 31858
9	3 1918	3 41864
10	4 2147	4 59340
11	4 3349	4 81864
12	4 6636	4 108785
13	4 7445	4 145264
14	5 7962	5 184357
15	5 11601	5 228155
16	5 13992	5 287380
17	6 20762	6 360508
18	5 17056	4 412094
19	5 23771	5 507356
20	5 30969	5 598428
21	6 28431	5 715495
22	6 48923	6 846987
23	5 58597	5 994722
24	6 53864	6 1185508
25	5 62584	5 1365764
26	6 96727	6 1600574
27	6 91711	6 1894991
28	7 171288	7 2231179
29	7 180771	7 2660074
30	7 255469	6 3063031
31	6 197145	5 3485586
32	6 257553	6 3926744
33	7 265256	6 4376931
34	7 346093	6 4800820
35	6 554652	6 5934420
36	7 350098	6 6484593
37	7 477169	7 7242397
38	7 536593	6 7666226
39	6 822130	6 9161791
40	7 718902	6 9948757
41	7 1208001	6 10899063
42	7 1127261	7 11951086
43	7 1260021	7 14321173
44	7 1737996	6 15195800
45	7 1154177	7 16773779
46	7 2912900	7 19773106
47	7 2487912	6 21304455
48	7 2164617	7 24586304
49	8 2085201	7 26520070
50	8 2922539	7 28095160
51	8 3762474	7 30345072
52	8 2968203	8 35379766
53	8 4384550	8 40097599
54	8 7017397	7 42994823
55	8 6644689	8 45713697
56	8 6632664	7 51264201
57	9 7067810	7 54436495
58	8 8947062	6 56804311
59	8 6706860	8 65430418
60	8 8724272	8 71894958
61	8 9672907	8 81448469
62	9 9173659	8 85222135
63	8 16815929	7 89161491
64	8 10748041	8 99969439
65	7 15980485	7 108252191
66	8 11816969	7 113414335
67	8 17630611	8 119014760
68	8 15230149	7 124564780
69	9 18418627	9 142456079
70	8 22168410	8 155082819
71	8 19791233	7 161761615
72	8 25170585	8 174175614
73	9 29404654	8 182022198
74	9 29205129	9 197332868
75	8 44088227	8 211690170
76	9 29830566	8 225887309
77	9 34493272	8 238999234
78	8 37618982	8 252609239
79	9 40658988	9 264657743
80	9 54332813	9 281925476
81	9 56112523	9 304261717
82	9 47516247	8 320529368
83	9 74570149	8 335906427
84	9 48366410	8 348980121
85	8 62746265	8 377471778
86	10 69675436	9 399049586
87	9 84142353	8 420190126
88	9 77873840	8 435255228
89	11 85919756	9 452015937
90	9 91777749	9 502659931
91	9 100099851	8 516574608
92	9 128354356	9 553055365
93	9 125434100	9 591964778
94	10 153340205	9 625873896
95	9 150988103	9 678409516
96	9 155130490	9 710308142
97	9 136738495	9 753818306
98	9 149140349	9 789023680
