0	1 4	1 32
1	2 33	2 122
2	3 105	3 300
3	2 193	2 1321
4	2 291	2 2845
5	3 443	3 6180
6	4 541	4 11607
7	4 973	4 19737
8	4 1254	4 30353
9	3 1918	3 39192
10	4 2147	4 56668
11	4 3349	4 77721
12	4 6636	4 104642
13	4 7445	4 134235
14	5 7962	5 170738
15	5 11601	5 211757
16	5 13992	5 266095
17	6 20762	6 335004
18	5 17056	4 384986
19	5 23771	5 475128
20	5 30969	5 558971
21	6 28431	5 668496
22	6 48923	6 791478
23	5 58597	5 930577
24	6 53864	6 1101312
25	5 62584	5 1271928
26	6 96727	6 1485112
27	6 91711	6 1760403
28	7 171288	7 2058054
29	7 180771	7 2448468
30	7 255469	6 2830827
31	6 197145	5 3211429
32	6 257553	6 3634261
33	7 265256	6 4040553
34	7 346093	6 4417687
35	6 554652	6 5470085
36	7 350098	6 5949131
37	7 477169	7 6631671
38	7 536593	6 7061044
39	6 822130	6 8450542
40	7 718902	6 9130690
41	7 1208001	6 9997930
42	7 1127261	7 10944367
43	7 1260021	6 11913209
44	7 1737996	6 12958127
45	7 1154177	7 14259916
46	7 2912900	6 15532532
47	7 2487912	6 16822595
48	7 2164617	7 19826242
49	8 2085201	7 21525037
50	8 2922539	7 23115255
51	8 3762474	7 24889286
52	8 2968203	8 29637409
53	8 4384550	8 33962875
54	8 7017397	7 36441305
55	8 6644689	8 39115451
56	8 6632664	6 41299673
57	9 7067810	7 44103232
58	8 8947062	6 46394761
59	8 6706860	8 54425389
60	8 8724272	8 60525206
61	8 9672907	8 69412853
62	9 9173659	8 73459111
63	8 16815929	8 82172719
64	8 10748041	7 86513458
65	7 15980485	7 93863056
66	8 11816969	7 98477924
67	8 17630611	8 103346049
68	8 15230149	7 108280712
69	9 18418627	9 123731210
70	8 22168410	7 132291845
71	8 19791233	7 138289181
72	8 25170585	8 149614271
73	9 29404654	8 157038747
74	9 29205129	9 177166577
75	8 44088227	8 190309252
76	9 29830566	8 203839312
77	9 34493272	8 215860310
78	8 37618982	8 228359759
79	9 40658988	9 239591641
80	9 54332813	9 255563269
81	9 56112523	9 276385219
82	9 47516247	8 291420719
83	9 74570149	8 305683927
84	9 48366410	8 317431897
85	8 62746265	8 338578474
86	10 69675436	9 358260717
87	9 84142353	8 377893202
88	9 77873840	8 391478020
89	11 85919756	9 406610659
90	9 91777749	9 432206942
91	9 100099851	8 444915867
92	9 128354356	9 477450081
93	9 125434100	9 512832981
94	10 153340205	10 563141567
95	9 150988103	9 594620699
96	9 155130490	9 628879263
97	9 136738495	9 668884450
98	9 149140349	9 701200420
